##                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
Identifier	Domain target name        accession   tlen query E-value                    Score   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
10	RosmerTA_RmrA_2634882613 -            397 WP_000737133.1|WP_000737133.1 -             99   4.2e-09   31.5   0.2   1   1   6.5e-11   4.5e-09   31.4   0.2    10    71     8    69     2    98 0.81 -
11	RosmerTA_RmrA_2734955840 -            371 WP_000737133.1|WP_000737133.1 -             99     2e-07   26.4   0.0   1   1     3e-09   2.1e-07   26.3   0.0    22    79     8    65     3    88 0.91 -
12	RosmerTA_RmrA_2617826694 -            357 WP_000737133.1|WP_000737133.1 -             99   2.9e-07   25.3   0.1   1   1   4.9e-09   3.4e-07   25.1   0.1     5    84     9    88     6    95 0.89 -
13	RosmerTA_RmrA_2585209417 -            370 WP_000737133.1|WP_000737133.1 -             99   4.6e-05   18.4   0.1   1   1   7.6e-07   5.3e-05   18.2   0.1     6    62    10    66     7    96 0.86 -
14	RosmerTA_RmrA_2676476075 -            373 WP_000737133.1|WP_000737133.1 -             99   8.3e-05   17.7   0.0   1   1   1.3e-06   9.2e-05   17.6   0.0     5    82     6    82     3    98 0.85 -
15	RosmerTA_RmrA_2641389401 -            369 WP_000737133.1|WP_000737133.1 -             99    0.0012   13.7   0.4   1   1   2.1e-05    0.0015   13.4   0.4     6    80    10    87     7    94 0.83 -
16	RosmerTA_RmrT_2641389401 -            233 WP_001052588.1|WP_001052588.1 -            236   4.1e-40  133.5   0.0   1   1   9.4e-43   4.9e-40  133.3   0.0    16   227    17   230     4   235 0.93 -
17	RosmerTA_RmrT_2634932349 -            207 WP_001052588.1|WP_001052588.1 -            236   1.1e-11   40.7   0.0   1   1   2.7e-14   1.4e-11   40.3   0.0    15   204    30   233    21   235 0.76 -
18	RosmerTA_RmrA_2634932349 -            363 WP_001295669.1|WP_001295669.1 -            230     4e-05   18.4   0.0   1   1   2.5e-07   5.3e-05   18.0   0.0     4    63     7    65     4    78 0.92 -
19	RosmerTA_RmrA_2617826694 -            357 WP_001295669.1|WP_001295669.1 -            230   0.00018   16.1   0.0   1   1     1e-06   0.00022   15.9   0.0     5    61     8    63     5   119 0.87 -
20	RosmerTA_RmrA_2734955840 -            371 WP_001295669.1|WP_001295669.1 -            230    0.0052   11.8   0.0   1   1   3.4e-05    0.0071   11.4   0.0    23    84     8    68     3    81 0.91 -
21	RosmerTA_RmrA_2634882613 -            397 WP_001295669.1|WP_001295669.1 -            230    0.0053   11.5   0.0   1   1   3.5e-05    0.0073   11.0   0.0    10    64     7    60     2    73 0.87 -
22	RosmerTA_RmrA_2662548665 -            400 WP_001295669.1|WP_001295669.1 -            230    0.0061   11.3   0.0   1   1   4.1e-05    0.0087   10.8   0.0    11    69     8    65     4    78 0.86 -
23	HTH                      -             99 WP_002379958.1|WP_002379958.1 -            120   4.1e-11   38.7   2.1   1   1   5.7e-13   4.6e-11   38.6   1.5     6    80     8    81     3   100 0.82 -
24	RosmerTA_RmrA_2623274509 -            383 WP_002379958.1|WP_002379958.1 -            120   1.3e-09   33.1   0.5   1   2   3.7e-11     3e-09   31.9   0.2    15    82     7    75     2    99 0.84 -
25	RosmerTA_RmrA_2623274509 -            383 WP_002379958.1|WP_002379958.1 -            120   1.3e-09   33.1   0.5   2   2      0.32        26   -0.8   0.0   231   247    91   106    80   111 0.74 -
26	RosmerTA_RmrA_2664250653 -            395 WP_002379958.1|WP_002379958.1 -            120   1.7e-09   32.8   0.1   1   1   2.7e-11   2.2e-09   32.4   0.1    26    92     7    74     4   115 0.82 -
27	RosmerTA_RmrA_2600853143 -            384 WP_002379958.1|WP_002379958.1 -            120   3.7e-09   31.9   1.1   1   2   5.7e-10   4.6e-08   28.3   0.1     9    74     6    72     2    80 0.90 -
28	RosmerTA_RmrA_2600853143 -            384 WP_002379958.1|WP_002379958.1 -            120   3.7e-09   31.9   1.1   2   2     0.034       2.8    2.7   0.1   216   238    84   106    77   110 0.88 -
29	RosmerTA_RmrA_2662548665 -            400 WP_002379958.1|WP_002379958.1 -            120   5.1e-09   31.3   0.4   1   1   7.6e-11   6.2e-09   31.1   0.4    11    98     6    94     2   118 0.78 -
30	RosmerTA_RmrA_2677172838 -            380 WP_002379958.1|WP_002379958.1 -            120     1e-08   30.3   1.4   1   1   1.4e-10   1.2e-08   30.1   1.4    14    85     7    79     2   117 0.80 -
31	RosmerTA_RmrA_2634932349 -            363 WP_002379958.1|WP_002379958.1 -            120   6.5e-08   27.6   0.1   1   1   1.2e-09   9.8e-08   27.0   0.1     6    71     7    74     3   107 0.81 -
32	RosmerTA_RmrA_2603008502 -            394 WP_002379958.1|WP_002379958.1 -            120     3e-07   25.7   1.3   1   1   6.3e-09   5.1e-07   25.0   1.3     6    91     7    94     4   116 0.77 -
33	RosmerTA_RmrA_2634882613 -            397 WP_002379958.1|WP_002379958.1 -            120   3.3e-05   18.7   0.1   1   1   4.6e-07   3.7e-05   18.5   0.1    12    78     7    74     2   112 0.83 -
34	RosmerTA_RmrA_2617826694 -            357 WP_002379958.1|WP_002379958.1 -            120   6.5e-05   17.6   0.2   1   1   9.2e-07   7.4e-05   17.4   0.2     6    82     7    85     3   102 0.84 -
35	RosmerTA_RmrA_2641389401 -            369 WP_002379958.1|WP_002379958.1 -            120   6.6e-05   17.8   0.4   1   1   9.8e-07   7.9e-05   17.6   0.4     6   109     7   111     4   118 0.77 -
36	RosmerTA_RmrA_2734955840 -            371 WP_002379958.1|WP_002379958.1 -            120    0.0014   13.7   0.0   1   1   1.9e-05    0.0015   13.6   0.0    24    81     7    65     2    96 0.81 -
37	RosmerTA_RmrA_2676476075 -            373 WP_002379958.1|WP_002379958.1 -            120    0.0014   13.7   0.1   1   1   1.8e-05    0.0014   13.7   0.1     4    73     2    72     1   116 0.81 -
38	RosmerTA_RmrA_2662548665 -            400 WP_002431456.1|WP_002431456.1 -            235   1.9e-06   22.9   0.0   1   1   1.2e-08   2.6e-06   22.4   0.0    10    69    12    75     6    91 0.83 -
39	RosmerTA_RmrA_2753529055 -            399 WP_002431456.1|WP_002431456.1 -            235   0.00022   16.1   0.0   1   1   1.4e-06   0.00029   15.8   0.0    10    65    12    70     6   100 0.82 -
40	RosmerTA_RmrA_2677172838 -            380 WP_002431456.1|WP_002431456.1 -            235   0.00023   16.0   0.0   1   1   1.3e-06   0.00027   15.7   0.0    28    75    28    80     1    95 0.74 -
41	RosmerTA_RmrA_2634882613 -            397 WP_002431456.1|WP_002431456.1 -            235     0.001   13.8   0.0   1   1   6.5e-06    0.0014   13.4   0.0    10    71    12    77     4    97 0.82 -
42	RosmerTA_RmrA_2634932349 -            363 WP_002431456.1|WP_002431456.1 -            235    0.0019   12.9   0.0   1   1   1.1e-05    0.0024   12.6   0.0     6    64    14    76    11    95 0.79 -
43	Type_I_REases_FAM_2.einsi_trimmed   -            876 WP_006441955.1|WP_006441955.1 -            660     3e-09   31.7   3.6   1   2   2.6e-07   5.5e-05   17.5   0.0   182   259    16    90     7   138 0.85 -
44	Type_I_REases_FAM_2.einsi_trimmed   -            876 WP_006441955.1|WP_006441955.1 -            660     3e-09   31.7   3.6   2   2   2.1e-05    0.0044   11.3   3.8   446   611   445   648   424   657 0.75 -
45	PsyrTA_PsyrT                        -            689 WP_006441955.1|WP_006441955.1 -            660   1.7e-08   29.0   0.5   1   1   1.4e-10   2.9e-08   28.2   0.5   243   345   446   552   435   658 0.65 -
46	Type_III_REases_FAM_1.einsi_trimmed -            879 WP_006441955.1|WP_006441955.1 -            660   2.3e-06   21.9   0.5   1   2   9.6e-05      0.02    8.9   0.0    65    86    36    57     3    97 0.74 -
47	Type_III_REases_FAM_1.einsi_trimmed -            879 WP_006441955.1|WP_006441955.1 -            660   2.3e-06   21.9   0.5   2   2   2.6e-05    0.0055   10.8   0.3   332   423   458   550   405   645 0.75 -
48	brxHII                              -            922 WP_006441955.1|WP_006441955.1 -            660   6.6e-05   17.2   0.2   1   2      0.22        45   -2.1   0.2   627   663   249   285   246   298 0.81 -
49	brxHII                              -            922 WP_006441955.1|WP_006441955.1 -            660   6.6e-05   17.2   0.2   2   2   3.1e-07   6.6e-05   17.2   0.2   467   571   439   549   416   565 0.84 -
50	brxHI                               -            700 WP_006441955.1|WP_006441955.1 -            660     0.002   12.4   1.5   1   2     0.091        19   -0.7   0.0   288   307   122   141   105   150 0.77 -
51	brxHI                               -            700 WP_006441955.1|WP_006441955.1 -            660     0.002   12.4   1.5   2   2   2.9e-05    0.0062   10.8   0.1   185   345   387   545   378   551 0.80 -
52	RosmerTA_RmrA_2634932349 -            363 WP_010707088.1|WP_010707088.1 -            316   2.2e-09   32.4   0.1   1   1   3.9e-11   3.4e-09   31.8   0.1     5    74     2    71     1    82 0.94 -
53	RosmerTA_RmrA_2677172838 -            380 WP_010707088.1|WP_010707088.1 -            316   7.3e-09   30.8   0.2   1   1   1.3e-10   1.2e-08   30.1   0.2    13    82     2    71     1   158 0.83 -
54	HTH                      -             99 WP_010707088.1|WP_010707088.1 -            316   9.6e-09   31.1   0.3   1   2   1.1e-10   9.6e-09   31.1   0.3     5    78     3    76     1    84 0.89 -
55	HTH                      -             99 WP_010707088.1|WP_010707088.1 -            316   9.6e-09   31.1   0.3   2   2       1.3   1.2e+02   -1.2   0.2    47    89   205   247   195   255 0.59 -
56	RosmerTA_RmrA_2623274509 -            383 WP_010707088.1|WP_010707088.1 -            316   1.2e-08   30.0   0.2   1   2   1.3e-10   1.2e-08   30.0   0.2    14   123     2   122     1   136 0.75 -
57	RosmerTA_RmrA_2623274509 -            383 WP_010707088.1|WP_010707088.1 -            316   1.2e-08   30.0   0.2   2   2       1.8   1.5e+02   -3.3   0.0   328   360   230   262   221   266 0.75 -
58	RosmerTA_RmrA_2662548665 -            400 WP_010707088.1|WP_010707088.1 -            316   2.7e-08   28.9   0.2   1   2   5.7e-10     5e-08   28.1   0.0    11    74     2    65     1   114 0.91 -
59	RosmerTA_RmrA_2662548665 -            400 WP_010707088.1|WP_010707088.1 -            316   2.7e-08   28.9   0.2   2   2       1.1        95   -2.5   0.0   280   323   194   238   192   268 0.65 -
60	RosmerTA_RmrA_2600853143 -            384 WP_010707088.1|WP_010707088.1 -            316   8.8e-08   27.4   0.2   1   1   1.6e-09   1.4e-07   26.7   0.2     9    76     2    69     1   115 0.92 -
61	RosmerTA_RmrA_2634882613 -            397 WP_010707088.1|WP_010707088.1 -            316   1.2e-06   23.4   0.1   1   1     2e-08   1.7e-06   22.9   0.1    11    71     2    62     1   153 0.76 -
62	RosmerTA_RmrA_2617826694 -            357 WP_010707088.1|WP_010707088.1 -            316   1.5e-06   23.0   0.1   1   1     3e-08   2.6e-06   22.2   0.1     5    72     2    69     1    77 0.92 -
63	RosmerTA_RmrA_2603008502 -            394 WP_010707088.1|WP_010707088.1 -            316   1.9e-06   23.1   0.7   1   2   2.2e-08   1.9e-06   23.1   0.7     6    75     3    74     2   133 0.74 -
64	RosmerTA_RmrA_2603008502 -            394 WP_010707088.1|WP_010707088.1 -            316   1.9e-06   23.1   0.7   2   2      0.13        11    0.8   0.2    47    91   187   230   173   295 0.69 -
65	RosmerTA_RmrA_2664250653 -            395 WP_010707088.1|WP_010707088.1 -            316   2.8e-06   22.2   0.0   1   1   5.9e-08   5.1e-06   21.3   0.0    25    93     2    70     1    79 0.91 -
66	RosmerTA_RmrA_2753529055 -            399 WP_010707088.1|WP_010707088.1 -            316     2e-05   19.6   0.8   1   2   5.1e-07   4.5e-05   18.4   0.0    11    72     2    62     1   132 0.82 -
67	RosmerTA_RmrA_2753529055 -            399 WP_010707088.1|WP_010707088.1 -            316     2e-05   19.6   0.8   2   2      0.37        32   -0.9   0.1   279   332   192   246   191   268 0.71 -
68	RosmerTA_RmrA_2585209417 -            370 WP_010707088.1|WP_010707088.1 -            316   0.00017   16.6   0.1   1   1     3e-06   0.00026   15.9   0.1     7    75     4    72     2   125 0.89 -
69	HTH                  -             99 WP_010707089.1|WP_010707089.1 -             69   0.00044   16.2   0.7   1   1   5.2e-07   0.00054   15.9   0.7     5    38    11    44     7    58 0.91 -
70	RosmerTA_RmrA_2677172838 -            380 WP_010714169.1|WP_010714169.1 -             70   4.9e-09   31.4   0.0   1   1     8e-11   5.6e-09   31.2   0.0    14    69     7    62     2    69 0.92 -
71	RosmerTA_RmrA_2634932349 -            363 WP_010714169.1|WP_010714169.1 -             70   1.2e-08   30.0   0.0   1   1   1.7e-10   1.2e-08   30.0   0.0     6    59     7    60     2    69 0.90 -
72	HTH                      -             99 WP_010714169.1|WP_010714169.1 -             70   2.3e-08   29.9   0.0   1   1   3.7e-10   2.6e-08   29.8   0.0     5    61     7    63     4    68 0.95 -
73	RosmerTA_RmrA_2617826694 -            357 WP_010714169.1|WP_010714169.1 -             70   1.6e-07   26.1   0.0   1   1   2.3e-09   1.6e-07   26.1   0.0     6    57     7    58     2    69 0.88 -
74	RosmerTA_RmrA_2623274509 -            383 WP_010714169.1|WP_010714169.1 -             70   2.7e-07   25.5   0.0   1   1   4.1e-09   2.8e-07   25.4   0.0    15    67     7    59     2    69 0.86 -
75	RosmerTA_RmrA_2634882613 -            397 WP_010714169.1|WP_010714169.1 -             70   2.2e-06   22.5   0.0   1   1   3.7e-08   2.6e-06   22.4   0.0    11    63     6    58     2    66 0.93 -
76	RosmerTA_RmrA_2600853143 -            384 WP_010714169.1|WP_010714169.1 -             70   3.3e-06   22.2   0.0   1   1   4.7e-08   3.3e-06   22.2   0.0    10    63     7    60     1    69 0.88 -
77	RosmerTA_RmrA_2603008502 -            394 WP_010714169.1|WP_010714169.1 -             70   5.7e-06   21.5   0.0   1   1   8.7e-08   6.1e-06   21.4   0.0     7    60     8    61     5    70 0.91 -
78	RosmerTA_RmrA_2662548665 -            400 WP_010714169.1|WP_010714169.1 -             70   7.1e-06   21.0   0.0   1   1   1.1e-07   7.8e-06   20.8   0.0    13    67     8    62     3    69 0.90 -
79	RosmerTA_RmrA_2664250653 -            395 WP_010714169.1|WP_010714169.1 -             70   1.4e-05   19.9   0.0   1   1   2.2e-07   1.5e-05   19.8   0.0    27    75     8    56     4    65 0.91 -
80	RosmerTA_RmrA_2734955840 -            371 WP_010714169.1|WP_010714169.1 -             70   6.3e-05   18.1   0.0   1   1   1.1e-06   7.4e-05   17.9   0.0    25    76     8    59     3    64 0.91 -
81	RosmerTA_RmrA_2585209417 -            370 WP_010714169.1|WP_010714169.1 -             70   8.9e-05   17.5   0.0   1   1   1.4e-06   9.5e-05   17.4   0.0     6    59     7    60     3    69 0.92 -
82	RosmerTA_RmrA_2753529055 -            399 WP_010714169.1|WP_010714169.1 -             70   0.00033   15.6   0.0   1   1   5.1e-06   0.00035   15.5   0.0    18    66    12    60     4    69 0.84 -
83	RosmerTA_RmrA_2641389401 -            369 WP_010714169.1|WP_010714169.1 -             70    0.0026   12.5   0.0   1   1   4.2e-05    0.0029   12.4   0.0     7    59     8    60     3    69 0.86 -
84	RosmerTA_RmrA_2676476075 -            373 WP_010714169.1|WP_010714169.1 -             70    0.0059   11.6   0.0   1   1   8.5e-05    0.0059   11.6   0.0    10    46     8    44     1    60 0.83 -
85	Type_II_MTases_FAM_3  -            268 WP_013171739.1|WP_013171739.1 -            409   5.1e-51  169.6   0.0   1   1   1.4e-52   8.9e-51  168.8   0.0    14   259   162   390    78   394 0.81 -
86	Type_II_MTases_FAM_1  -            273 WP_013171739.1|WP_013171739.1 -            409     2e-41  138.3   0.0   1   1   1.8e-42   1.2e-40  135.7   0.0     6   256   160   388   150   403 0.89 -
87	Type_II_MTases_FAM_36 -            317 WP_013171739.1|WP_013171739.1 -            409   2.9e-13   45.8   0.1   1   3      0.35        23    0.2   0.1     8    49    47    89    42   128 0.79 -
88	Type_II_MTases_FAM_36 -            317 WP_013171739.1|WP_013171739.1 -            409   2.9e-13   45.8   0.1   2   3   0.00047     0.031    9.6   0.0    30   119   187   277   175   286 0.81 -
89	Type_II_MTases_FAM_36 -            317 WP_013171739.1|WP_013171739.1 -            409   2.9e-13   45.8   0.1   3   3   7.7e-11     5e-09   31.9   0.0   240   314   307   380   297   383 0.89 -
90	Type_II_MTases_FAM_26 -            334 WP_013171739.1|WP_013171739.1 -            409   1.3e-12   43.2   0.0   1   2   0.00083     0.054    8.3   0.0    81   190   164   277   126   297 0.69 -
91	Type_II_MTases_FAM_26 -            334 WP_013171739.1|WP_013171739.1 -            409   1.3e-12   43.2   0.0   2   2   3.2e-11   2.1e-09   32.7   0.0   247   324   306   385   297   393 0.90 -
92	Type_II_MTases_FAM_18 -            294 WP_013171739.1|WP_013171739.1 -            409   4.4e-11   38.3   0.1   1   3      0.19        12    0.8   0.0    20    37   185   202   166   213 0.84 -
93	Type_II_MTases_FAM_18 -            294 WP_013171739.1|WP_013171739.1 -            409   4.4e-11   38.3   0.1   2   3     0.088       5.8    1.8   0.0    94   138   227   271   209   281 0.83 -
94	Type_II_MTases_FAM_18 -            294 WP_013171739.1|WP_013171739.1 -            409   4.4e-11   38.3   0.1   3   3   9.1e-11   5.9e-09   31.3   0.0   225   290   316   381   305   385 0.95 -
95	Type_II_MTases_FAM_19 -            252 WP_013171739.1|WP_013171739.1 -            409   4.7e-10   35.2   0.1   1   3       6.3   4.1e+02   -3.9   0.0   189   209    28    48    18    58 0.75 -
96	Type_II_MTases_FAM_19 -            252 WP_013171739.1|WP_013171739.1 -            409   4.7e-10   35.2   0.1   2   3     0.033       2.1    3.6   0.1    28    54   188   212   161   272 0.65 -
97	Type_II_MTases_FAM_19 -            252 WP_013171739.1|WP_013171739.1 -            409   4.7e-10   35.2   0.1   3   3     7e-10   4.6e-08   28.7   0.0   170   246   307   382   303   388 0.93 -
98	Type_II_MTases_FAM_8  -            269 WP_013171739.1|WP_013171739.1 -            409   1.4e-09   33.5   0.0   1   1   9.2e-11     6e-09   31.4   0.0   110   253   252   379   212   392 0.82 -
99	Type_II_MTases_FAM_20 -            319 WP_013171739.1|WP_013171739.1 -            409   1.6e-09   33.0   0.0   1   2     0.044       2.9    2.6   0.0     8    72   168   241   164   274 0.74 -
100	Type_II_MTases_FAM_20 -            319 WP_013171739.1|WP_013171739.1 -            409   1.6e-09   33.0   0.0   2   2   8.2e-10   5.4e-08   28.0   0.0   224   292   320   389   313   401 0.91 -
101	Type_II_MTases_FAM_9  -            282 WP_013171739.1|WP_013171739.1 -            409   7.1e-09   31.1   0.0   1   2     0.065       4.2    2.3   0.0    47   131   187   275   178   289 0.74 -
102	Type_II_MTases_FAM_9  -            282 WP_013171739.1|WP_013171739.1 -            409   7.1e-09   31.1   0.0   2   2   2.9e-09   1.9e-07   26.4   0.0   208   270   319   381   299   392 0.88 -
103	Type_II_MTases_FAM_37 -            416 WP_013171739.1|WP_013171739.1 -            409   3.2e-08   28.8   0.0   1   1   1.2e-09   7.7e-08   27.5   0.0   298   369   304   376   292   395 0.79 -
104	Type_III_MTases_FAM_0 -            632 WP_013171739.1|WP_013171739.1 -            409     2e-07   26.3   0.0   1   1   5.9e-09   3.9e-07   25.3   0.0   387   428   322   363   309   387 0.92 -
105	Type_II_MTases_FAM_12 -            342 WP_013171739.1|WP_013171739.1 -            409   1.4e-05   20.5   0.0   1   2      0.84        55   -1.2   0.0     5    33   166   198   164   235 0.70 -
106	Type_II_MTases_FAM_12 -            342 WP_013171739.1|WP_013171739.1 -            409   1.4e-05   20.5   0.0   2   2   9.2e-07     6e-05   18.4   0.0   209   277   320   388   303   399 0.86 -
107	Type_II_MTases_FAM_27 -            928 WP_013171739.1|WP_013171739.1 -            409   2.7e-05   18.5   0.0   1   2    0.0088      0.58    4.2   0.0   499   567   208   273   198   295 0.85 -
108	Type_II_MTases_FAM_27 -            928 WP_013171739.1|WP_013171739.1 -            409   2.7e-05   18.5   0.0   2   2   3.3e-05    0.0022   12.2   0.0   128   160   339   371   316   389 0.84 -
109	Type_II_MTases_FAM_25 -            468 WP_013171739.1|WP_013171739.1 -            409   6.3e-05   17.8   0.0   1   1   1.5e-06   9.9e-05   17.1   0.0    88   133   342   387   332   396 0.82 -
110	Type_II_MTases_FAM_7  -            429 WP_013171739.1|WP_013171739.1 -            409   0.00087   14.3   0.0   1   1   2.4e-05    0.0016   13.4   0.0    69   101   339   371   321   381 0.87 -
111	Type_II_MTases_FAM_38 -            342 WP_013171739.1|WP_013171739.1 -            409    0.0058   11.9   0.0   1   2       1.3        83   -1.8   0.0   245   270   217   242   143   264 0.61 -
112	Type_II_MTases_FAM_38 -            342 WP_013171739.1|WP_013171739.1 -            409    0.0058   11.9   0.0   2   2   0.00029     0.019   10.2   0.0   138   173   339   374   329   397 0.86 -
113	AbiEi_4              PF13338.8     49 WP_015382966.1|WP_015382966.1 -             76   0.00024   17.2   0.0   1   2   3.9e-07   0.00041   16.5   0.0    13    44    14    47     9    51 0.88 Transcriptional regulator, AbiEi antitoxin
114	AbiEi_4              PF13338.8     49 WP_015382966.1|WP_015382966.1 -             76   0.00024   17.2   0.0   2   2      0.51   5.4e+02   -3.1   0.0    18    26    63    72    61    74 0.65 Transcriptional regulator, AbiEi antitoxin
115	casR_I_2             -            218 WP_017263059.1|WP_017263059.1 -            220    0.0012   14.0   0.0   1   1   5.8e-06     0.002   13.2   0.0   164   194   180   210   176   216 0.90 -
116	casR_I_1             -            198 WP_017263059.1|WP_017263059.1 -            220    0.0035   12.9   0.1   1   1   1.4e-05    0.0051   12.4   0.1   156   187   179   210   130   216 0.89 -
117	Mokosh_TypeI_MkoB2   -            454 WP_017263059.1|WP_017263059.1 -            220    0.0037   12.0   0.0   1   2      0.24        82   -2.3   0.0   176   198    59    81    44   140 0.72 -
118	Mokosh_TypeI_MkoB2   -            454 WP_017263059.1|WP_017263059.1 -            220    0.0037   12.0   0.0   2   2   2.4e-05    0.0082   10.9   0.0    51    91   177   217   175   218 0.94 -
119	casR_I_2               -            218 WP_025087711.1|WP_025087711.1 -            253   9.7e-05   17.6   0.6   1   1   7.9e-07   0.00021   16.5   0.6   150   192    10    52     3    55 0.93 -
120	SoFic                  -            361 WP_025087711.1|WP_025087711.1 -            253   0.00081   14.6   0.6   1   1   4.6e-06    0.0012   14.1   0.3   291   339     3    52     1    73 0.89 -
121	casR_I_1               -            198 WP_025087711.1|WP_025087711.1 -            253    0.0013   14.3   0.4   1   1   1.1e-05    0.0029   13.2   0.4   142   185     9    52     2    56 0.90 -
122	WYL_I_II_III_IV_V_VI_1 -            313 WP_025087711.1|WP_025087711.1 -            253    0.0036   12.8   0.1   1   1   1.8e-05    0.0046   12.4   0.1     6    52     4    50     1    79 0.86 -
123	cas2_I_II_III_IV_V_VI_1 -             90 WP_026166694.1|WP_026166694.1 -             89    0.0032   13.8   0.0   1   1   3.5e-06    0.0037   13.6   0.0     3    71     4    71     1    78 0.92 -
124	SoFic                -            361 WP_026166695.1|WP_026166695.1 -            225   2.3e-14   49.3   0.0   1   1   2.5e-17   2.6e-14   49.1   0.0   112   217    61   176    12   223 0.74 -
125	QatA                 -            650 WP_028124617.1|WP_028124617.1 -            488   0.00054   14.6   1.3   1   2   0.00055      0.58    4.5   0.0    23    78    10    61     3    81 0.76 -
126	QatA                 -            650 WP_028124617.1|WP_028124617.1 -            488   0.00054   14.6   1.3   2   2   3.6e-05     0.038    8.5   0.3   180   231   150   201   111   212 0.83 -
127	Menshen_NsnB              -            345 WP_040435342.1|WP_040435342.1 -            947   1.9e-12   43.4   1.5   1   4   0.00059     0.056    8.9   0.0    15    37    25    47    11    57 0.79 -
128	Menshen_NsnB              -            345 WP_040435342.1|WP_040435342.1 -            947   1.9e-12   43.4   1.5   2   4     0.064       6.1    2.3   0.0   239   283   517   561   494   568 0.88 -
129	Menshen_NsnB              -            345 WP_040435342.1|WP_040435342.1 -            947   1.9e-12   43.4   1.5   3   4   4.9e-06   0.00047   15.8   0.0     7    51   626   669   620   701 0.74 -
130	Menshen_NsnB              -            345 WP_040435342.1|WP_040435342.1 -            947   1.9e-12   43.4   1.5   4   4   6.7e-05    0.0063   12.1   0.0   235   285   853   904   788   912 0.85 -
131	AAA_21                    PF13304.7    304 WP_040435342.1|WP_040435342.1 -            947   1.8e-08   30.5   0.9   1   4     0.085       8.1    2.1   0.1     1    15    33    47    33    53 0.92 AAA domain, putative AbiEii toxin, Type IV TA system
132	AAA_21                    PF13304.7    304 WP_040435342.1|WP_040435342.1 -            947   1.8e-08   30.5   0.9   2   4       1.9   1.8e+02   -2.3   0.0   261   274   517   530   490   552 0.69 AAA domain, putative AbiEii toxin, Type IV TA system
133	AAA_21                    PF13304.7    304 WP_040435342.1|WP_040435342.1 -            947   1.8e-08   30.5   0.9   3   4    0.0057      0.54    5.9   0.0     1    43   641   682   641   695 0.76 AAA domain, putative AbiEii toxin, Type IV TA system
134	AAA_21                    PF13304.7    304 WP_040435342.1|WP_040435342.1 -            947   1.8e-08   30.5   0.9   4   4   9.3e-07   8.8e-05   18.4   0.0   234   296   831   893   824   901 0.87 AAA domain, putative AbiEii toxin, Type IV TA system
135	PtuA                      -            435 WP_040435342.1|WP_040435342.1 -            947   3.4e-07   26.3   0.0   1   4    0.0017      0.16    7.6   0.0     7    40    13    47    10    67 0.88 -
136	PtuA                      -            435 WP_040435342.1|WP_040435342.1 -            947   3.4e-07   26.3   0.0   2   4         3   2.9e+02   -3.1   0.0    39    87   328   380   328   418 0.58 -
137	PtuA                      -            435 WP_040435342.1|WP_040435342.1 -            947   3.4e-07   26.3   0.0   3   4   0.00045     0.043    9.5   0.0    15    59   629   675   618   698 0.69 -
